seed,eta,dominant_alternative,dominated_alternative,contexts_dominated,context_count,dominance_share,structural_dominance
21001,0.1,A3,A6,0,1000,0.0,False
21001,0.1,A4,A1,0,1000,0.0,False
21001,0.1,A4,A2,0,1000,0.0,False
21001,0.1,A4,A3,0,1000,0.0,False
21001,0.1,A4,A5,0,1000,0.0,False
21001,0.1,A4,A6,0,1000,0.0,False
21001,0.1,A5,A1,0,1000,0.0,False
21001,0.1,A5,A2,0,1000,0.0,False
21001,0.1,A5,A3,0,1000,0.0,False
21001,0.1,A5,A4,0,1000,0.0,False
21001,0.1,A5,A6,0,1000,0.0,False
21001,0.1,A6,A1,0,1000,0.0,False
21001,0.1,A6,A2,0,1000,0.0,False
21001,0.1,A6,A3,0,1000,0.0,False
21001,0.1,A6,A4,0,1000,0.0,False
21001,0.1,A6,A5,421,1000,0.421,False
21001,0.2,A1,A2,0,1000,0.0,False
21001,0.2,A1,A3,0,1000,0.0,False
21001,0.2,A1,A4,0,1000,0.0,False
21001,0.2,A1,A5,0,1000,0.0,False
21001,0.2,A1,A6,0,1000,0.0,False
21001,0.2,A2,A1,0,1000,0.0,False
21001,0.2,A2,A3,0,1000,0.0,False
21001,0.2,A2,A4,0,1000,0.0,False
21001,0.2,A2,A5,0,1000,0.0,False
21001,0.2,A2,A6,0,1000,0.0,False
21001,0.2,A3,A1,0,1000,0.0,False
21001,0.2,A3,A2,0,1000,0.0,False
21001,0.2,A3,A4,0,1000,0.0,False
21001,0.2,A3,A5,0,1000,0.0,False
21001,0.2,A3,A6,0,1000,0.0,False
21001,0.2,A4,A1,0,1000,0.0,False
21001,0.2,A4,A2,0,1000,0.0,False
21001,0.2,A4,A3,0,1000,0.0,False
21001,0.2,A4,A5,0,1000,0.0,False
21001,0.2,A4,A6,0,1000,0.0,False
21001,0.2,A5,A1,0,1000,0.0,False
21001,0.2,A5,A2,0,1000,0.0,False
21001,0.2,A5,A3,0,1000,0.0,False
21001,0.2,A5,A4,0,1000,0.0,False
21001,0.2,A5,A6,0,1000,0.0,False
21001,0.2,A6,A1,0,1000,0.0,False
21001,0.2,A6,A2,0,1000,0.0,False
21001,0.2,A6,A3,0,1000,0.0,False
21001,0.2,A6,A4,0,1000,0.0,False
21001,0.2,A6,A5,834,1000,0.834,False
21001,0.3,A1,A2,0,1000,0.0,False
21001,0.3,A1,A3,0,1000,0.0,False
21001,0.3,A1,A4,0,1000,0.0,False
21001,0.3,A1,A5,0,1000,0.0,False
21001,0.3,A1,A6,0,1000,0.0,False
21001,0.3,A2,A1,0,1000,0.0,False
21001,0.3,A2,A3,0,1000,0.0,False
21001,0.3,A2,A4,0,1000,0.0,False
21001,0.3,A2,A5,0,1000,0.0,False
21001,0.3,A2,A6,0,1000,0.0,False
21001,0.3,A3,A1,0,1000,0.0,False
21001,0.3,A3,A2,0,1000,0.0,False
21001,0.3,A3,A4,0,1000,0.0,False
21001,0.3,A3,A5,0,1000,0.0,False
21001,0.3,A3,A6,0,1000,0.0,False
21001,0.3,A4,A1,0,1000,0.0,False
21001,0.3,A4,A2,0,1000,0.0,False
21001,0.3,A4,A3,0,1000,0.0,False
21001,0.3,A4,A5,0,1000,0.0,False
21001,0.3,A4,A6,0,1000,0.0,False
21001,0.3,A5,A1,0,1000,0.0,False
21001,0.3,A5,A2,0,1000,0.0,False
21001,0.3,A5,A3,0,1000,0.0,False
21001,0.3,A5,A4,0,1000,0.0,False
21001,0.3,A5,A6,0,1000,0.0,False
21001,0.3,A6,A1,0,1000,0.0,False
21001,0.3,A6,A2,0,1000,0.0,False
21001,0.3,A6,A3,0,1000,0.0,False
21001,0.3,A6,A4,0,1000,0.0,False
21001,0.3,A6,A5,922,1000,0.922,False
21001,0.4,A1,A2,0,1000,0.0,False
21001,0.4,A1,A3,0,1000,0.0,False
21001,0.4,A1,A4,0,1000,0.0,False
21001,0.4,A1,A5,0,1000,0.0,False
21001,0.4,A1,A6,0,1000,0.0,False
21001,0.4,A2,A1,0,1000,0.0,False
21001,0.4,A2,A3,0,1000,0.0,False
21001,0.4,A2,A4,0,1000,0.0,False
21001,0.4,A2,A5,0,1000,0.0,False
21001,0.4,A2,A6,0,1000,0.0,False
21001,0.4,A3,A1,0,1000,0.0,False
21001,0.4,A3,A2,0,1000,0.0,False
21001,0.4,A3,A4,0,1000,0.0,False
21001,0.4,A3,A5,0,1000,0.0,False
21001,0.4,A3,A6,0,1000,0.0,False
21001,0.4,A4,A1,0,1000,0.0,False
21001,0.4,A4,A2,0,1000,0.0,False
21001,0.4,A4,A3,0,1000,0.0,False
21001,0.4,A4,A5,0,1000,0.0,False
21001,0.4,A4,A6,0,1000,0.0,False
21001,0.4,A5,A1,0,1000,0.0,False
21001,0.4,A5,A2,0,1000,0.0,False
21001,0.4,A5,A3,0,1000,0.0,False
21001,0.4,A5,A4,0,1000,0.0,False
21001,0.4,A5,A6,0,1000,0.0,False
21001,0.4,A6,A1,0,1000,0.0,False
21001,0.4,A6,A2,0,1000,0.0,False
21001,0.4,A6,A3,0,1000,0.0,False
21001,0.4,A6,A4,0,1000,0.0,False
21001,0.4,A6,A5,965,1000,0.965,False
21001,0.5,A1,A2,0,1000,0.0,False
21001,0.5,A1,A3,0,1000,0.0,False
21001,0.5,A1,A4,0,1000,0.0,False
21001,0.5,A1,A5,0,1000,0.0,False
21001,0.5,A1,A6,0,1000,0.0,False
21001,0.5,A2,A1,0,1000,0.0,False
21001,0.5,A2,A3,0,1000,0.0,False
21001,0.5,A2,A4,0,1000,0.0,False
21001,0.5,A2,A5,0,1000,0.0,False
21001,0.5,A2,A6,0,1000,0.0,False
21001,0.5,A3,A1,0,1000,0.0,False
21001,0.5,A3,A2,0,1000,0.0,False
21001,0.5,A3,A4,0,1000,0.0,False
21001,0.5,A3,A5,0,1000,0.0,False
21001,0.5,A3,A6,0,1000,0.0,False
21001,0.5,A4,A1,0,1000,0.0,False
21001,0.5,A4,A2,0,1000,0.0,False
21001,0.5,A4,A3,0,1000,0.0,False
21001,0.5,A4,A5,0,1000,0.0,False
21001,0.5,A4,A6,0,1000,0.0,False
21001,0.5,A5,A1,0,1000,0.0,False
21001,0.5,A5,A2,0,1000,0.0,False
21001,0.5,A5,A3,0,1000,0.0,False
21001,0.5,A5,A4,0,1000,0.0,False
21001,0.5,A5,A6,0,1000,0.0,False
21001,0.5,A6,A1,0,1000,0.0,False
21001,0.5,A6,A2,0,1000,0.0,False
21001,0.5,A6,A3,0,1000,0.0,False
21001,0.5,A6,A4,0,1000,0.0,False
21001,0.5,A6,A5,983,1000,0.983,False
21001,0.6,A1,A2,0,1000,0.0,False
21001,0.6,A1,A3,0,1000,0.0,False
21001,0.6,A1,A4,0,1000,0.0,False
21001,0.6,A1,A5,0,1000,0.0,False
21001,0.6,A1,A6,0,1000,0.0,False
21001,0.6,A2,A1,0,1000,0.0,False
21001,0.6,A2,A3,0,1000,0.0,False
21001,0.6,A2,A4,0,1000,0.0,False
21001,0.6,A2,A5,0,1000,0.0,False
21001,0.6,A2,A6,0,1000,0.0,False
21001,0.6,A3,A1,0,1000,0.0,False
21001,0.6,A3,A2,0,1000,0.0,False
21001,0.6,A3,A4,0,1000,0.0,False
21001,0.6,A3,A5,0,1000,0.0,False
21001,0.6,A3,A6,0,1000,0.0,False
21001,0.6,A4,A1,0,1000,0.0,False
21001,0.6,A4,A2,0,1000,0.0,False
21001,0.6,A4,A3,0,1000,0.0,False
21001,0.6,A4,A5,0,1000,0.0,False
21001,0.6,A4,A6,0,1000,0.0,False
21001,0.6,A5,A1,0,1000,0.0,False
21001,0.6,A5,A2,0,1000,0.0,False
21001,0.6,A5,A3,0,1000,0.0,False
21001,0.6,A5,A4,0,1000,0.0,False
21001,0.6,A5,A6,0,1000,0.0,False
21001,0.6,A6,A1,0,1000,0.0,False
21001,0.6,A6,A2,0,1000,0.0,False
21001,0.6,A6,A3,0,1000,0.0,False
21001,0.6,A6,A4,0,1000,0.0,False
21001,0.6,A6,A5,989,1000,0.989,False
21001,0.7,A1,A2,0,1000,0.0,False
21001,0.7,A1,A3,0,1000,0.0,False
21001,0.7,A1,A4,0,1000,0.0,False
21001,0.7,A1,A5,0,1000,0.0,False
21001,0.7,A1,A6,0,1000,0.0,False
21001,0.7,A2,A1,0,1000,0.0,False
21001,0.7,A2,A3,0,1000,0.0,False
21001,0.7,A2,A4,0,1000,0.0,False
21001,0.7,A2,A5,0,1000,0.0,False
21001,0.7,A2,A6,0,1000,0.0,False
21001,0.7,A3,A1,0,1000,0.0,False
21001,0.7,A3,A2,0,1000,0.0,False
21001,0.7,A3,A4,0,1000,0.0,False
21001,0.7,A3,A5,0,1000,0.0,False
21001,0.7,A3,A6,0,1000,0.0,False
21001,0.7,A4,A1,0,1000,0.0,False
21001,0.7,A4,A2,0,1000,0.0,False
21001,0.7,A4,A3,0,1000,0.0,False
21001,0.7,A4,A5,0,1000,0.0,False
21001,0.7,A4,A6,0,1000,0.0,False
21001,0.7,A5,A1,0,1000,0.0,False
21001,0.7,A5,A2,0,1000,0.0,False
21001,0.7,A5,A3,0,1000,0.0,False
21001,0.7,A5,A4,0,1000,0.0,False
21001,0.7,A5,A6,0,1000,0.0,False
21001,0.7,A6,A1,0,1000,0.0,False
21001,0.7,A6,A2,0,1000,0.0,False
21001,0.7,A6,A3,0,1000,0.0,False
21001,0.7,A6,A4,0,1000,0.0,False
21001,0.7,A6,A5,942,1000,0.942,False
21001,0.8,A1,A2,0,1000,0.0,False
21001,0.8,A1,A3,0,1000,0.0,False
21001,0.8,A1,A4,0,1000,0.0,False
21001,0.8,A1,A5,0,1000,0.0,False
21001,0.8,A1,A6,0,1000,0.0,False
21001,0.8,A2,A1,0,1000,0.0,False
21001,0.8,A2,A3,0,1000,0.0,False
21001,0.8,A2,A4,0,1000,0.0,False
21001,0.8,A2,A5,0,1000,0.0,False
21001,0.8,A2,A6,0,1000,0.0,False
21001,0.8,A3,A1,0,1000,0.0,False
21001,0.8,A3,A2,0,1000,0.0,False
21001,0.8,A3,A4,0,1000,0.0,False
21001,0.8,A3,A5,0,1000,0.0,False
21001,0.8,A3,A6,0,1000,0.0,False
21001,0.8,A4,A1,0,1000,0.0,False
21001,0.8,A4,A2,0,1000,0.0,False
21001,0.8,A4,A3,0,1000,0.0,False
21001,0.8,A4,A5,0,1000,0.0,False
21001,0.8,A4,A6,0,1000,0.0,False
21001,0.8,A5,A1,0,1000,0.0,False
21001,0.8,A5,A2,0,1000,0.0,False
21001,0.8,A5,A3,0,1000,0.0,False
21001,0.8,A5,A4,0,1000,0.0,False
21001,0.8,A5,A6,0,1000,0.0,False
21001,0.8,A6,A1,0,1000,0.0,False
21001,0.8,A6,A2,0,1000,0.0,False
21001,0.8,A6,A3,0,1000,0.0,False
21001,0.8,A6,A4,0,1000,0.0,False
21001,0.8,A6,A5,527,1000,0.527,False
21001,0.9,A1,A2,0,1000,0.0,False
21001,0.9,A1,A3,0,1000,0.0,False
21001,0.9,A1,A4,0,1000,0.0,False
21001,0.9,A1,A5,0,1000,0.0,False
21001,0.9,A1,A6,0,1000,0.0,False
21001,0.9,A2,A1,0,1000,0.0,False
21001,0.9,A2,A3,0,1000,0.0,False
21001,0.9,A2,A4,0,1000,0.0,False
21001,0.9,A2,A5,0,1000,0.0,False
21001,0.9,A2,A6,0,1000,0.0,False
21001,0.9,A3,A1,0,1000,0.0,False
21001,0.9,A3,A2,0,1000,0.0,False
21001,0.9,A3,A4,0,1000,0.0,False
21001,0.9,A3,A5,0,1000,0.0,False
21001,0.9,A3,A6,0,1000,0.0,False
21001,0.9,A4,A1,0,1000,0.0,False
21001,0.9,A4,A2,0,1000,0.0,False
21001,0.9,A4,A3,0,1000,0.0,False
21001,0.9,A4,A5,0,1000,0.0,False
21001,0.9,A4,A6,0,1000,0.0,False
21001,0.9,A5,A1,0,1000,0.0,False
21001,0.9,A5,A2,0,1000,0.0,False
21001,0.9,A5,A3,0,1000,0.0,False
21001,0.9,A5,A4,0,1000,0.0,False
21001,0.9,A5,A6,0,1000,0.0,False
21001,0.9,A6,A1,0,1000,0.0,False
21001,0.9,A6,A2,0,1000,0.0,False
21001,0.9,A6,A3,0,1000,0.0,False
21001,0.9,A6,A4,0,1000,0.0,False
21001,0.9,A6,A5,153,1000,0.153,False
21001,1.0,A1,A2,0,1000,0.0,False
21001,1.0,A1,A3,0,1000,0.0,False
21001,1.0,A1,A4,0,1000,0.0,False
21001,1.0,A1,A5,0,1000,0.0,False
21001,1.0,A1,A6,0,1000,0.0,False
21001,1.0,A2,A1,0,1000,0.0,False
21001,1.0,A2,A3,0,1000,0.0,False
21001,1.0,A2,A4,0,1000,0.0,False
21001,1.0,A2,A5,0,1000,0.0,False
21001,1.0,A2,A6,0,1000,0.0,False
21001,1.0,A3,A1,0,1000,0.0,False
21001,1.0,A3,A2,0,1000,0.0,False
21001,1.0,A3,A4,0,1000,0.0,False
21001,1.0,A3,A5,0,1000,0.0,False
21001,1.0,A3,A6,0,1000,0.0,False
21001,1.0,A4,A1,0,1000,0.0,False
21001,1.0,A4,A2,0,1000,0.0,False
21001,1.0,A4,A3,0,1000,0.0,False
21001,1.0,A4,A5,0,1000,0.0,False
21001,1.0,A4,A6,0,1000,0.0,False
21001,1.0,A5,A1,0,1000,0.0,False
21001,1.0,A5,A2,0,1000,0.0,False
21001,1.0,A5,A3,0,1000,0.0,False
21001,1.0,A5,A4,0,1000,0.0,False
21001,1.0,A5,A6,0,1000,0.0,False
21001,1.0,A6,A1,0,1000,0.0,False
21001,1.0,A6,A2,0,1000,0.0,False
21001,1.0,A6,A3,0,1000,0.0,False
21001,1.0,A6,A4,0,1000,0.0,False
21001,1.0,A6,A5,0,1000,0.0,False
21002,0.0,A1,A2,0,1000,0.0,False
21002,0.0,A1,A3,0,1000,0.0,False
21002,0.0,A1,A4,0,1000,0.0,False
21002,0.0,A1,A5,0,1000,0.0,False
21002,0.0,A1,A6,0,1000,0.0,False
21002,0.0,A2,A1,0,1000,0.0,False
21002,0.0,A2,A3,0,1000,0.0,False
21002,0.0,A2,A4,0,1000,0.0,False
21002,0.0,A2,A5,0,1000,0.0,False
21002,0.0,A2,A6,0,1000,0.0,False
21002,0.0,A3,A1,0,1000,0.0,False
21002,0.0,A3,A2,0,1000,0.0,False
21002,0.0,A3,A4,0,1000,0.0,False
21002,0.0,A3,A5,0,1000,0.0,False
21002,0.0,A3,A6,0,1000,0.0,False
21002,0.0,A4,A1,0,1000,0.0,False
21002,0.0,A4,A2,0,1000,0.0,False
21002,0.0,A4,A3,0,1000,0.0,False
21002,0.0,A4,A5,0,1000,0.0,False
21002,0.0,A4,A6,0,1000,0.0,False
21002,0.0,A5,A1,0,1000,0.0,False
21002,0.0,A5,A2,0,1000,0.0,False
21002,0.0,A5,A3,0,1000,0.0,False
21002,0.0,A5,A4,0,1000,0.0,False
21002,0.0,A5,A6,0,1000,0.0,False
21002,0.0,A6,A1,0,1000,0.0,False
21002,0.0,A6,A2,0,1000,0.0,False
21002,0.0,A6,A3,0,1000,0.0,False
21002,0.0,A6,A4,0,1000,0.0,False
21002,0.0,A6,A5,0,1000,0.0,False
21002,0.1,A1,A2,0,1000,0.0,False
21002,0.1,A1,A3,0,1000,0.0,False
21002,0.1,A1,A4,0,1000,0.0,False
21002,0.1,A1,A5,0,1000,0.0,False
21002,0.1,A1,A6,0,1000,0.0,False
21002,0.1,A2,A1,0,1000,0.0,False
21002,0.1,A2,A3,0,1000,0.0,False
21002,0.1,A2,A4,0,1000,0.0,False
21002,0.1,A2,A5,0,1000,0.0,False
21002,0.1,A2,A6,0,1000,0.0,False
21002,0.1,A3,A1,0,1000,0.0,False
21002,0.1,A3,A2,0,1000,0.0,False
21002,0.1,A3,A4,0,1000,0.0,False
21002,0.1,A3,A5,0,1000,0.0,False
21002,0.1,A3,A6,0,1000,0.0,False
21002,0.1,A4,A1,0,1000,0.0,False
21002,0.1,A4,A2,0,1000,0.0,False
21002,0.1,A4,A3,0,1000,0.0,False
21002,0.1,A4,A5,0,1000,0.0,False
21002,0.1,A4,A6,0,1000,0.0,False
21002,0.1,A5,A1,0,1000,0.0,False
21002,0.1,A5,A2,0,1000,0.0,False
21002,0.1,A5,A3,0,1000,0.0,False
21002,0.1,A5,A4,0,1000,0.0,False
21002,0.1,A5,A6,0,1000,0.0,False
21002,0.1,A6,A1,0,1000,0.0,False
21002,0.1,A6,A2,0,1000,0.0,False
21002,0.1,A6,A3,0,1000,0.0,False
21002,0.1,A6,A4,0,1000,0.0,False
21002,0.1,A6,A5,0,1000,0.0,False
21002,0.2,A1,A2,0,1000,0.0,False
21002,0.2,A1,A3,0,1000,0.0,False
21002,0.2,A1,A4,0,1000,0.0,False
21002,0.2,A1,A5,0,1000,0.0,False
21002,0.2,A1,A6,0,1000,0.0,False
21002,0.2,A2,A1,0,1000,0.0,False
21002,0.2,A2,A3,0,1000,0.0,False
21002,0.2,A2,A4,0,1000,0.0,False
21002,0.2,A2,A5,0,1000,0.0,False
21002,0.2,A2,A6,0,1000,0.0,False
21002,0.2,A3,A1,0,1000,0.0,False
21002,0.2,A3,A2,0,1000,0.0,False
21002,0.2,A3,A4,0,1000,0.0,False
21002,0.2,A3,A5,0,1000,0.0,False
21002,0.2,A3,A6,0,1000,0.0,False
21002,0.2,A4,A1,0,1000,0.0,False
21002,0.2,A4,A2,0,1000,0.0,False
21002,0.2,A4,A3,0,1000,0.0,False
21002,0.2,A4,A5,0,1000,0.0,False
21002,0.2,A4,A6,0,1000,0.0,False
21002,0.2,A5,A1,0,1000,0.0,False
21002,0.2,A5,A2,0,1000,0.0,False
21002,0.2,A5,A3,0,1000,0.0,False
21002,0.2,A5,A4,0,1000,0.0,False
21002,0.2,A5,A6,0,1000,0.0,False
21002,0.2,A6,A1,0,1000,0.0,False
21002,0.2,A6,A2,0,1000,0.0,False
21002,0.2,A6,A3,0,1000,0.0,False
21002,0.2,A6,A4,0,1000,0.0,False
21002,0.2,A6,A5,0,1000,0.0,False
21002,0.3,A1,A2,0,1000,0.0,False
21002,0.3,A1,A3,0,1000,0.0,False
21002,0.3,A1,A4,0,1000,0.0,False
21002,0.3,A1,A5,0,1000,0.0,False
21002,0.3,A1,A6,0,1000,0.0,False
21002,0.3,A2,A1,0,1000,0.0,False
21002,0.3,A2,A3,0,1000,0.0,False
21002,0.3,A2,A4,0,1000,0.0,False
21002,0.3,A2,A5,0,1000,0.0,False
21002,0.3,A2,A6,0,1000,0.0,False
21002,0.3,A3,A1,0,1000,0.0,False
21002,0.3,A3,A2,0,1000,0.0,False
21002,0.3,A3,A4,0,1000,0.0,False
21002,0.3,A3,A5,0,1000,0.0,False
21002,0.3,A3,A6,0,1000,0.0,False
21002,0.3,A4,A1,0,1000,0.0,False
21002,0.3,A4,A2,0,1000,0.0,False
21002,0.3,A4,A3,0,1000,0.0,False
21002,0.3,A4,A5,0,1000,0.0,False
21002,0.3,A4,A6,0,1000,0.0,False
21002,0.3,A5,A1,0,1000,0.0,False
21002,0.3,A5,A2,0,1000,0.0,False
21002,0.3,A5,A3,0,1000,0.0,False
21002,0.3,A5,A4,0,1000,0.0,False
21002,0.3,A5,A6,0,1000,0.0,False
21002,0.3,A6,A1,0,1000,0.0,False
21002,0.3,A6,A2,0,1000,0.0,False
21002,0.3,A6,A3,0,1000,0.0,False
21002,0.3,A6,A4,0,1000,0.0,False
21002,0.3,A6,A5,0,1000,0.0,False
21002,0.4,A1,A2,0,1000,0.0,False
21002,0.4,A1,A3,0,1000,0.0,False
21002,0.4,A1,A4,0,1000,0.0,False
21002,0.4,A1,A5,0,1000,0.0,False
21002,0.4,A1,A6,0,1000,0.0,False
21002,0.4,A2,A1,0,1000,0.0,False
21002,0.4,A2,A3,0,1000,0.0,False
21002,0.4,A2,A4,0,1000,0.0,False
21002,0.4,A2,A5,0,1000,0.0,False
21002,0.4,A2,A6,0,1000,0.0,False
21002,0.4,A3,A1,0,1000,0.0,False
21002,0.4,A3,A2,0,1000,0.0,False
21002,0.4,A3,A4,0,1000,0.0,False
21002,0.4,A3,A5,0,1000,0.0,False
21002,0.4,A3,A6,0,1000,0.0,False
21002,0.4,A4,A1,0,1000,0.0,False
21002,0.4,A4,A2,0,1000,0.0,False
21002,0.4,A4,A3,0,1000,0.0,False
21002,0.4,A4,A5,0,1000,0.0,False
21002,0.4,A4,A6,0,1000,0.0,False
21002,0.4,A5,A1,0,1000,0.0,False
21002,0.4,A5,A2,0,1000,0.0,False
21002,0.4,A5,A3,0,1000,0.0,False
21002,0.4,A5,A4,0,1000,0.0,False
21002,0.4,A5,A6,0,1000,0.0,False
21002,0.4,A6,A1,0,1000,0.0,False
21002,0.4,A6,A2,0,1000,0.0,False
21002,0.4,A6,A3,0,1000,0.0,False
21002,0.4,A6,A4,0,1000,0.0,False
21002,0.4,A6,A5,0,1000,0.0,False
21002,0.5,A1,A2,0,1000,0.0,False
21002,0.5,A1,A3,0,1000,0.0,False
21002,0.5,A1,A4,0,1000,0.0,False
21002,0.5,A1,A5,0,1000,0.0,False
21002,0.5,A1,A6,0,1000,0.0,False
21002,0.5,A2,A1,0,1000,0.0,False
21002,0.5,A2,A3,0,1000,0.0,False
21002,0.5,A2,A4,0,1000,0.0,False
21002,0.5,A2,A5,0,1000,0.0,False
21002,0.5,A2,A6,0,1000,0.0,False
21002,0.5,A3,A1,0,1000,0.0,False
21002,0.5,A3,A2,0,1000,0.0,False
21002,0.5,A3,A4,0,1000,0.0,False
21002,0.5,A3,A5,0,1000,0.0,False
21002,0.5,A3,A6,0,1000,0.0,False
21002,0.5,A4,A1,0,1000,0.0,False
21002,0.5,A4,A2,0,1000,0.0,False
21002,0.5,A4,A3,0,1000,0.0,False
21002,0.5,A4,A5,0,1000,0.0,False
21002,0.5,A4,A6,0,1000,0.0,False
21002,0.5,A5,A1,0,1000,0.0,False
21002,0.5,A5,A2,0,1000,0.0,False
21002,0.5,A5,A3,0,1000,0.0,False
21002,0.5,A5,A4,0,1000,0.0,False
21002,0.5,A5,A6,0,1000,0.0,False
21002,0.5,A6,A1,0,1000,0.0,False
21002,0.5,A6,A2,0,1000,0.0,False
21002,0.5,A6,A3,0,1000,0.0,False
21002,0.5,A6,A4,0,1000,0.0,False
21002,0.5,A6,A5,0,1000,0.0,False
21002,0.6,A1,A2,0,1000,0.0,False
21002,0.6,A1,A3,0,1000,0.0,False
21002,0.6,A1,A4,0,1000,0.0,False
21002,0.6,A1,A5,0,1000,0.0,False
21002,0.6,A1,A6,0,1000,0.0,False
21002,0.6,A2,A1,0,1000,0.0,False
21002,0.6,A2,A3,0,1000,0.0,False
21002,0.6,A2,A4,0,1000,0.0,False
21002,0.6,A2,A5,0,1000,0.0,False
21002,0.6,A2,A6,0,1000,0.0,False
21002,0.6,A3,A1,0,1000,0.0,False
21002,0.6,A3,A2,0,1000,0.0,False
21002,0.6,A3,A4,0,1000,0.0,False
21002,0.6,A3,A5,0,1000,0.0,False
21002,0.6,A3,A6,0,1000,0.0,False
21002,0.6,A4,A1,0,1000,0.0,False
21002,0.6,A4,A2,0,1000,0.0,False
21002,0.6,A4,A3,0,1000,0.0,False
21002,0.6,A4,A5,0,1000,0.0,False
21002,0.6,A4,A6,0,1000,0.0,False
21002,0.6,A5,A1,0,1000,0.0,False
21002,0.6,A5,A2,0,1000,0.0,False
21002,0.6,A5,A3,0,1000,0.0,False
21002,0.6,A5,A4,0,1000,0.0,False
21002,0.6,A5,A6,0,1000,0.0,False
21002,0.6,A6,A1,0,1000,0.0,False
21002,0.6,A6,A2,0,1000,0.0,False
21002,0.6,A6,A3,0,1000,0.0,False
21002,0.6,A6,A4,0,1000,0.0,False
21002,0.6,A6,A5,0,1000,0.0,False
21002,0.7,A1,A2,0,1000,0.0,False
21002,0.7,A1,A3,0,1000,0.0,False
21002,0.7,A1,A4,0,1000,0.0,False
21002,0.7,A1,A5,0,1000,0.0,False
21002,0.7,A1,A6,0,1000,0.0,False
21002,0.7,A2,A1,0,1000,0.0,False
21002,0.7,A2,A3,0,1000,0.0,False
21002,0.7,A2,A4,0,1000,0.0,False
21002,0.7,A2,A5,0,1000,0.0,False
21002,0.7,A2,A6,0,1000,0.0,False
21002,0.7,A3,A1,0,1000,0.0,False
21002,0.7,A3,A2,0,1000,0.0,False
21002,0.7,A3,A4,0,1000,0.0,False
21002,0.7,A3,A5,0,1000,0.0,False
21002,0.7,A3,A6,0,1000,0.0,False
21002,0.7,A4,A1,0,1000,0.0,False
21002,0.7,A4,A2,0,1000,0.0,False
21002,0.7,A4,A3,0,1000,0.0,False
21002,0.7,A4,A5,0,1000,0.0,False
21002,0.7,A4,A6,0,1000,0.0,False
21002,0.7,A5,A1,0,1000,0.0,False
21002,0.7,A5,A2,0,1000,0.0,False
21002,0.7,A5,A3,0,1000,0.0,False
21002,0.7,A5,A4,0,1000,0.0,False
21002,0.7,A5,A6,0,1000,0.0,False
21002,0.7,A6,A1,0,1000,0.0,False
21002,0.7,A6,A2,0,1000,0.0,False
21002,0.7,A6,A3,0,1000,0.0,False
21002,0.7,A6,A4,0,1000,0.0,False
21002,0.7,A6,A5,0,1000,0.0,False
21002,0.8,A1,A2,0,1000,0.0,False
21002,0.8,A1,A3,0,1000,0.0,False
21002,0.8,A1,A4,0,1000,0.0,False
21002,0.8,A1,A5,0,1000,0.0,False
21002,0.8,A1,A6,0,1000,0.0,False
21002,0.8,A2,A1,0,1000,0.0,False
21002,0.8,A2,A3,0,1000,0.0,False
21002,0.8,A2,A4,0,1000,0.0,False
21002,0.8,A2,A5,0,1000,0.0,False
