seed,criterion,alternative_id,active,c
21003,C6,A3,True,1.0
21003,C6,A4,True,0.0
21003,C6,A5,True,0.6000000000000001
21003,C6,A6,True,0.8
21003,C7,A1,True,0.2
21003,C7,A2,True,0.0
21003,C7,A3,True,0.6000000000000001
21003,C7,A4,True,1.0
21003,C7,A5,True,0.8
21003,C7,A6,True,0.4
21004,C1,A1,True,0.2
21004,C1,A2,True,0.0
21004,C1,A3,True,0.6000000000000001
21004,C1,A4,True,1.0
21004,C1,A5,True,0.8
21004,C1,A6,True,0.4
21004,C2,A1,True,0.2
21004,C2,A2,True,0.6000000000000001
21004,C2,A3,True,0.8
21004,C2,A4,True,0.4
21004,C2,A5,True,0.0
21004,C2,A6,True,1.0
21004,C3,A1,True,0.0
21004,C3,A2,True,0.25
21004,C3,A3,True,0.75
21004,C3,A4,True,1.0
21004,C3,A5,False,
21004,C3,A6,True,0.5
21004,C4,A1,True,0.2
21004,C4,A2,True,0.8
21004,C4,A3,True,0.0
21004,C4,A4,True,1.0
21004,C4,A5,True,0.4
21004,C4,A6,True,0.6000000000000001
21004,C5,A1,True,0.5
21004,C5,A2,False,
21004,C5,A3,True,0.0
21004,C5,A4,True,0.75
21004,C5,A5,True,0.25
21004,C5,A6,True,1.0
21004,C6,A1,True,1.0
21004,C6,A2,True,0.6000000000000001
21004,C6,A3,True,0.8
21004,C6,A4,True,0.2
21004,C6,A5,True,0.0
21004,C6,A6,True,0.4
21004,C7,A1,True,0.4
21004,C7,A2,True,0.0
21004,C7,A3,True,0.8
21004,C7,A4,True,0.2
21004,C7,A5,True,0.6000000000000001
21004,C7,A6,True,1.0
21005,C1,A1,True,0.8
21005,C1,A2,True,0.2
21005,C1,A3,True,0.0
21005,C1,A4,True,0.6000000000000001
21005,C1,A5,True,1.0
21005,C1,A6,True,0.4
21005,C2,A1,True,0.2
21005,C2,A2,True,0.6000000000000001
21005,C2,A3,True,1.0
21005,C2,A4,True,0.8
21005,C2,A5,True,0.4
21005,C2,A6,True,0.0
21005,C3,A1,True,1.0
21005,C3,A2,True,0.25
21005,C3,A3,True,0.0
21005,C3,A4,True,0.75
21005,C3,A5,False,
21005,C3,A6,True,0.5
21005,C4,A1,True,0.0
21005,C4,A2,True,0.2
21005,C4,A3,True,0.8
21005,C4,A4,True,0.4
21005,C4,A5,True,1.0
21005,C4,A6,True,0.6000000000000001
21005,C5,A1,True,1.0
21005,C5,A2,False,
21005,C5,A3,True,0.5
21005,C5,A4,True,0.25
21005,C5,A5,True,0.75
21005,C5,A6,True,0.0
21005,C6,A1,True,0.2
21005,C6,A2,True,0.4
21005,C6,A3,True,0.8
21005,C6,A4,True,1.0
21005,C6,A5,True,0.6000000000000001
21005,C6,A6,True,0.0
21005,C7,A1,True,0.2
21005,C7,A2,True,0.4
21005,C7,A3,True,0.8
21005,C7,A4,True,0.0
21005,C7,A5,True,0.6000000000000001
21005,C7,A6,True,1.0
